Symbol,Name,Last,Change,%Chg,High,Low,Volume,Avg Vol,Time
CELC,Celcuity Inc,21.6,7.29,50.94%,24.25,19.04,15856899,839805,4/9/2021
REPX,Riley Exploration Permian Inc,31.95,7.34,29.83%,45,24.95,1104100,70300,4/9/2021
BTX,Brooklyn Immunotherapeutics Inc,6.43,1.29,25.10%,7.1,4.86,4703200,N/A,4/9/2021
AFMD,Affimed N.V.,9.74,1.85,23.45%,10.7,9.23,79786602,5644775,4/9/2021
CGA,China Green Agriculture,7.76,1.43,22.59%,8.42,6.55,1914500,167015,4/9/2021
BCTX,Briacell Therapeutics Corp,5.21,0.83,18.95%,5.21,4.4,7042900,1113960,4/9/2021
GTBP,GT Biopharma Inc,10.44,1.65,18.77%,10.87,8.79,1372000,750200,4/9/2021
CLVR,Clever Leaves Holdings Inc,12.15,1.88,18.31%,12.42,10.88,1904400,660275,4/9/2021
TENX,Tenax Therapeutics,2.08,0.3,16.85%,2.47,2.03,65837203,3580410,4/9/2021
NTZ,Natuzzi S.P.A.,16.4,2.2,15.49%,17,14.36,164100,33975,4/9/2021
COE,China Online Education Group,23,3.05,15.29%,23.1,19.97,95100,30855,4/9/2021
LOVE,The Lovesac Company,71.75,9.28,14.86%,72.33,63.81,1508800,369255,4/9/2021
PRTK,Paratek Pharma Inc,7.96,1.01,14.53%,8.46,6.94,5228400,500625,4/9/2021
BBQ,Bbq Holdings Inc,13.9,1.75,14.40%,13.94,11.23,261800,104885,4/9/2021
SOHU,Sohu.com Inc,18.9,2.26,13.58%,20.18,18.59,3300900,426350,4/9/2021
NCSM,Ncs Multistage Holdings Inc,28,3.31,13.41%,47.97,27,750800,39705,4/9/2021
RICE,Rice Acquisition Corp Cl A,17.3,1.98,12.92%,17.3,14.12,23493900,7240930,4/9/2021
FUBO,Fubotv Inc,23.31,2.61,12.61%,25.35,21.38,105284898,17617510,4/9/2021
VJET,Voxeljet Ag,15.93,1.73,12.18%,16.63,14.7,129400,61935,4/9/2021
AUVI,Applied Uv Inc,10.77,1.14,11.84%,11.5,9.62,458400,484690,4/9/2021
BBW,Build-A-Bear Workshop,9.01,0.93,11.51%,9.14,8.1,1392700,329485,4/9/2021
FBIO,Fortress Biotech Inc,5.44,0.56,11.48%,5.78,4.99,22386801,2293035,4/9/2021
SMIT,Schmitt Inds Inc,7.18,0.72,11.05%,7.45,6.62,63500,24675,4/9/2021
GTH,Genetron Holdings Limited ADR,22.77,2.25,10.96%,23.38,20.31,687500,327060,4/9/2021
EARS,Auris Medical,4.31,0.42,10.80%,4.36,3.76,12092899,4463020,4/9/2021
CSSE,Chicken Soup For The Soul Entertainment Inc,32.57,3.05,10.33%,32.57,29.26,120400,61605,4/9/2021
EVAX,Evaxion Biotech A/S ADR,6.09,0.56,10.13%,6.14,5.7,260700,105185,4/9/2021
DASH,Doordash Inc Cl A,140.5,12.36,9.65%,141,122.06,6671800,2497545,4/9/2021
ATNF,180 Life Sciences Corp,9.74,0.85,9.56%,10.15,8.53,3541800,3925855,4/9/2021
GURE,Gulf Resources Inc,5.09,0.44,9.46%,5.63,4.85,5074400,351600,4/9/2021
EKSO,Ekso Bionics Holdings Inc,6.52,0.56,9.40%,7.08,5.75,4292700,379085,4/9/2021
ODT,Odonate Therapeutics Inc,3.85,0.33,9.37%,4.06,3.4,12234699,11986909,4/9/2021
JYNT,The Joint Corp,51.4,4.39,9.34%,52.36,47.03,296700,146930,4/9/2021
OSTK,Overstock.com Inc,71.7,5.92,9.00%,73.08,66.54,3068300,1665865,4/9/2021
